Year,Month,ALLOCATION,SWDI,reservoir_storage,,,,,,,,,,,allocation each year,,,,
2006,4,100,0.966666667,25160185,,,,,,,,,,,,,,,
2006,11,60,0.9,21163371,,,,,,,,,,,,,,,
2007,11,25,0.3,14108710,,,,,,,,,,,,,,,
2008,2,35,0.433333333,16070046,,,,,,,,,,,,,,,
2008,10,15,0.166666667,11760295,,,,,,,,,,,,,,,
2009,3,20,0.166666667,14465603,,,,,,,,,,,,,,,
2009,4,30,0.233333333,17862981,,,,,,,,,,,,,,,
2009,5,40,0.2,18824921,,,,,,,,,,,,,,,
2009,11,5,0.266666667,13554234,,,,,,,,,,,,,,,
2010,2,15,0.333333333,16016097,,,,,,,,,,,,,,,
2010,3,20,0.5,18098089,,,,,,,,,,,,,,,
2010,4,30,0.666666667,20294066,,,,,,,,,,,,,,,
2010,5,40,0.7,22263105,,,,,,,,,,,,,,,
2010,5,45,0.7,22263105,,,,,,,,,,,,,,,
2010,6,50,0.533333333,23102440,,,,,,,,,,,,,,,
2010,11,25,0.633333333,17980780,,,,,,,,,,,,,,,
2010,12,50,0.833333333,18305151,,,,,,,,,,,,,,,
2011,1,60,0.933333333,20855912,,,,,,,,,,,,,,,
2011,3,70,0.9,22788075,,,,,,,,,,,,,,,
2011,4,80,1,24251536,,,,,,,,,,,,,,,
2011,11,60,0.966666667,22066691,,,,,,,,,,,,,,,
2012,2,50,0.366666667,21344332,,,,,,,,,,,,,,,
2012,4,60,0.5,23194044,,,,,,,,,,,,,,,
2012,5,65,0.566666667,25609727,,,,,,,,,,,,,,,
2012,11,30,0.466666667,15648390,,,,,,,,,,,,,,,
2012,12,40,0.5,16167588,,,,,,,,,,,,,,,
2013,3,35,0.366666667,20480252,,,,,,,,,,,,,,,
2013,11,5,0.2,12745087,,,,,,,,,,,,,,,
2014,1,0,0.066666667,12246520,,,,,,,,,,,,,,,
2014,4,5,0.066666667,14789989,,,,,,,,,,,,,,,
2014,12,10,0.033333333,9567862,,,,,,,,,,,,,,,
2015,1,15,0.133333333,12391631,,,,,,,,,,,,,,,
2015,3,20,0.1,15403895,,,,,,,,,,,,,,,
2015,12,10,0.066666667,8774378,,,,,,,,,,,,,,,
2016,1,15,0.2,9570373,,,,,,,,,,,,,,,
2016,2,30,0.2,12958042,,,,,,,,,,,,,,,
2016,3,45,0.2,14822251,,,,,,,,,,,,,,,
2016,4,60,0.266666667,19643657,,,,,,,,,,,,,,,
2016,11,20,0.366666667,14748821,,,,,,,,,,,,,,,
2016,12,45,0.4,15611365,,,,,,,,,,,,,,,
2017,1,60,0.833333333,18320614,,,,,,,,,,,,,,,
2017,4,85,0.9,24602227,,,,,,,,,,,,,,,
2017,11,15,0.8,19609713,,,,,,,,,,,,,,,
2018,1,20,0.333333333,19804555,,,,,,,,,,,,,,,
2018,4,30,0.4,23470060,,,,,,,,,,,,,,,
2018,5,35,0.533333333,25425878,,,,,,,,,,,,,,,
2018,11,10,0.533333333,16786368,,,,,,,,,,,,,,,
2019,1,15,0.466666667,17032880,,,,,,,,,,,,,,,
2019,2,35,0.7,19607096,,,,,,,,,,,,,,,
2019,3,70,0.966666667,23485883,,,,,,,,,,,,,,,
2019,6,75,0.8,26298882,,,,,,,,,,,,,,,
2019,12,10,0.766666667,18849044,,,,,,,,,,,,,,,
2020,1,15,0.633333333,20023060,,,,,,,,,,,,,,,
2020,5,20,0.333333333,22550371,,,,,,,,,,,,,,,
2020,12,10,0.3,14827560,,,,,,,,,,,,,,,
2021,3,5,0.133333333,15656893,,,,,,,,,,,,,,,
2021,12,0,0.2,11317235,,,,,,,,,,,,,,,
2022,1,15,0.266666667,13022407,,,,,,,,,,,,,,,
2022,3,5,0.133333333,14623680,,,,,,,,,,,,,,,
2022,12,5,0.2,11063663,,,,,,,,,,,,,,,
2023,1,30,0.533333333,13497275,,,,,,,,,,,,,,,
2023,2,35,0.833333333,18603214,,,,,,,,,,,,,,,
2023,3,75,0.933333333,19782598,,,,,,,,,,,,,,,
2023,4,100,1,23399815,,,,,,,,,,,,,,,
2023,12,10,0.7,19465803,,,,,,,,,,,,,,,
2024,2,15,0.533333333,20904843,,,,,,,,,,,,,,,
2024,3,30,0.566666667,22408625,,,,,,,,,,,,,,,
