SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"10265100","DEADMAN C A BIG SPRINGS NR CRESTVIEW CA","ST","USGS",-118.93944440,37.75027778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10265100"
"11012500","CAMPO C NR CAMPO CA","ST","USGS",-116.52557200,32.59117200,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11012500"
"11014000","JAMUL C NR JAMUL CA","ST","USGS",-116.88418930,32.63755660,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11014000"
"11015000","SWEETWATER R NR DESCANSO CA","ST","USGS",-116.62307470,32.83477370,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11015000"
"11016200","SWEETWATER R A DEHESA CA","ST","USGS",-116.85027780,32.77416667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11016200"
"11022200","LOS COCHES C NR LAKESIDE CA","ST","USGS",-116.90030350,32.83616156,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11022200"
"11022480","SAN DIEGO R A MAST RD NR SANTEE CA","ST","USGS",-117.02586270,32.84032675,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11022480"
"11023000","SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA","ST","USGS",-117.16864490,32.76504998,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11023000"
"11023340","LOS PENASQUITOS C NR POWAY CA","ST","USGS",-117.12169990,32.94310130,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11023340"
"11025500","SANTA YSABEL C NR RAMONA CA","ST","USGS",-116.86613700,33.10698660,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11025500"
"11027000","GUEJITO C NR SAN PASQUAL CA","ST","USGS",-116.95308410,33.11587430,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11027000"
"11028500","SANTA MARIA C NR RAMONA CA","ST","USGS",-116.94558440,33.05226550,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11028500"
"11042000","SAN LUIS REY R A OCEANSIDE CA","ST","USGS",-117.36031620,33.21809119,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11042000"
"11042400","TEMECULA C NR AGUANGA CA","ST","USGS",-116.92363570,33.45919759,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11042400"
"11042800","WARM SPRINGS C NR MURRIETA CA","ST","USGS",-117.17697710,33.53224867,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11042800"
"11042900","SANTA GERTRUDIS C NR TEMECULA CA","ST","USGS",-117.16475440,33.52447127,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11042900"
"11044000","SANTA MARGARITA R NR TEMECULA CA","ST","USGS",-117.14225360,33.47391750,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11044000"
"11044250","RAINBOW C NR FALLBROOK CA","ST","USGS",-117.20086700,33.40753006,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11044250"
"11044300","SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA","ST","USGS",-117.24114620,33.41364059,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11044300"
"11044350","SANDIA C NR FALLBROOK CA","ST","USGS",-117.24920200,33.42447348,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11044350"
"11044800","DE LUZ C NR DE LUZ CA","ST","USGS",-117.32170440,33.41975110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11044800"
"11045300","FALLBROOK C NR FALLBROOK CA","ST","USGS",-117.31781520,33.34697584,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11045300"
"11045600","ONEILL LAKE OUTLET CH NR FALLBROOK CA","ST","USGS",-117.32559310,33.32503210,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11045600"
"11045700","ONEILL LK SPILL CH NR FALLBROOK CA","ST","USGS",-117.32725990,33.32892087,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11045700"
"11046000","SANTA MARGARITA R A YSIDORA CA","ST","USGS",-117.34726040,33.31114360,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11046000"
"11046300","SAN MATEO C NR SAN CLEMENTE CA","ST","USGS",-117.47309860,33.47085987,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11046300"
"11046360","CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA","ST","USGS",-117.57032420,33.42641717,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11046360"
"11046530","SAN JUAN C AT LA NOVIA ST BR AT SAN JUAN CAPIS CA","ST","USGS",-117.64810580,33.50252640,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11046530"
"11047300","ARROYO TRABUCO A SAN JUAN CAPISTRANO CA","ST","USGS",-117.66588430,33.49835999,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11047300"
"11048175","AGUA CHINON WASH A PORTOLA SPRINGS RD NR IRVINE CA","ST","USGS",-117.69541670,33.68708330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11048175"
"11048600","BONITA C A IRVINE CA","ST","USGS",-117.86116730,33.64502095,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11048600"
"11051499","SANTA ANA R NR MENTONE (RIVER ONLY) CA","ST","USGS",-117.10059110,34.10834489,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11051499"
"11051502","SAR SUPP GAGE NR MENTONE CA","ST","USGS",-117.10059110,34.10834489,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11051502"
"11055500","PLUNGE C NR EAST HIGHLANDS CA","ST","USGS",-117.14170400,34.11834458,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11055500"
"11055800","CITY C NR HIGHLAND CA","ST","USGS",-117.18865070,34.14389920,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11055800"
"11057500","SAN TIMOTEO C NR LOMA LINDA CA","ST","USGS",-117.26754190,34.06140240,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11057500"
"11058500","E TWIN C NR ARROWHEAD SPRINGS CA","ST","USGS",-117.26558940,34.17917790,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11058500"
"11058600","WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA","ST","USGS",-117.27222220,34.18583330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11058600"
"11059300","SANTA ANA R A E ST NR SAN BERNARDINO CA","ST","USGS",-117.30032080,34.06501310,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11059300"
"11060400","WARM C NR SAN BERNARDINO CA","ST","USGS",-117.30032090,34.07834596,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11060400"
"11062000","LYTLE C NR FONTANA CA","ST","USGS",-117.45786670,34.21184444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11062000"
"11062399","FONTANA WATER CO SURFACE DIV WEIR 2 NR FONTANA CA","ST","USGS",-117.44949360,34.20278567,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11062399"
"11062400","FONTANA WATER CO SURFACE DIV NR FONTANA CA","ST","USGS",-117.44949360,34.20306344,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11062400"
"11062450","FONTANA PH FOREBAY SPILLWAY NR FONTANA CA","ST","USGS",-117.44921580,34.20278567,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11062450"
"11062800","FONTANA WATER CO SPILL CH FROM AFTERBAY NR FONTANA","ST","USGS",-117.39560250,34.15556500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11062800"
"11063510","CAJON C BL LONE PINE C NR KEENBROOK CA","ST","USGS",-117.46699440,34.26333920,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11063510"
"11063680","DEVIL CYN C NR SAN BERNARDINO CA","ST","USGS",-117.33143400,34.20834107,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11063680"
"11065000","LYTLE C A COLTON CA","ST","USGS",-117.30559890,34.07890146,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11065000"
"11069500","SAN JACINTO R NR SAN JACINTO","ST","USGS",-116.83390980,33.73807629,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11069500"
"11070210","SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA","ST","USGS",-117.13586600,33.83974065,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11070210"
"11070270","PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA","ST","USGS",-117.20614690,33.80113024,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11070270"
"11070365","SAN JACINTO R NR SUN CITY CA","ST","USGS",-117.23170300,33.74613114,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11070365"
"11070465","SALT C A MURRIETA RD NR SUN CITY CA","ST","USGS",-117.20559030,33.69418820,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11070465"
"11070500","SAN JACINTO R NR ELSINORE CA","ST","USGS",-117.29392700,33.66418858,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11070500"
"11071760","COLDWATER CANYON C NR CORONA CA","ST","USGS",-117.49580560,33.75444444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11071760"
"11071900","TEMESCAL C A CORONA LK NR CORONA CA","ST","USGS",-117.44583330,33.75027778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11071900"
"11072100","TEMESCAL C AB MAIN ST A CORONA CA","ST","USGS",-117.56282740,33.88918210,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11072100"
"11073300","SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA","ST","USGS",-117.73061180,34.01862319,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11073300"
"11073360","CHINO C A SCHAEFER AVENUE NR CHINO CA","ST","USGS",-117.72700060,34.00390144,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11073360"
"11073495","CUCAMONGA C NR MIRA LOMA CA","ST","USGS",-117.59949660,33.98279120,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11073495"
"11074000","SANTA ANA R BL PRADO DAM CA","ST","USGS",-117.64532960,33.88334875,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11074000"
"11075720","CARBON C BL CARBON CYN DAM CA","ST","USGS",-117.84255840,33.91334748,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11075720"
"11077500","SANTIAGO C A SANTA ANA CA","ST","USGS",-117.88450140,33.77029460,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11077500"
"11078000","SANTA ANA R A SANTA ANA CA","ST","USGS",-117.90839060,33.75112815,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11078000"
"11085000","SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA","ST","USGS",-117.96950920,34.11223019,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11085000"
"11087020","SAN GABRIEL R AB WHITTIER NARROWS DAM CA","ST","USGS",-118.03812250,34.03417767,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11087020"
"11088500","BREA C BL BREA DAM NR FULLERTON CA","ST","USGS",-117.92644960,33.88779206,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11088500"
"11089500","FULLERTON C BL FULLERTON DAM NR BREA CA","ST","USGS",-117.88617060,33.89584765,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11089500"
"11092450","LOS ANGELES R A SEPULVEDA DAM CA","ST","USGS",-118.46674900,34.16167247,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11092450"
"11097000","BIG TUJUNGA C BL HANSEN DAM CA","ST","USGS",-118.38897000,34.25361395,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11097000"
"11098000","ARROYO SECO NR PASADENA CA","ST","USGS",-118.17757270,34.22222629,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11098000"
"11101250","RIO HONDO AB WHITTIER NARROWS DAM CA","ST","USGS",-118.07173480,34.05834368,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11101250"
"11102300","RIO HONDO BL WHITTIER NARROWS DAM CA","ST","USGS",-118.08840180,34.01667880,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11102300"
"11109000","SANTA CLARA R NR PIRU CA","ST","USGS",-118.73925800,34.40360813,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11109000"
"11109600","PIRU CREEK ABOVE LAKE PIRU CA","ST","USGS",-118.75703620,34.52304728,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11109600"
"11109800","PIRU CREEK BELOW SANTA FELICIA DAM CA","ST","USGS",-118.75203610,34.46027230,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11109800"
"11111500","SESPE CREEK NEAR WHEELER SPRINGS CA","ST","USGS",-119.25733470,34.57776570,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11111500"
"11113000","SESPE C NR FILLMORE","ST","USGS",-118.92732120,34.44166180,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11113000"
"11113500","SANTA PAULA C NR SANTA PAULA","ST","USGS",-119.08232720,34.41332950,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11113500"
"11114495","MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA","ST","USGS",-119.35733930,34.50276930,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11114495"
"11118500","VENTURA R NR VENTURA","ST","USGS",-119.30844660,34.35222038,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11118500"
"11119500","CARPINTERIA C NR CARPINTERIA CA","ST","USGS",-119.48651030,34.40138360,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11119500"
"11119750","MISSION C NR MISSION ST NR SANTA BARBARA CA","ST","USGS",-119.72366940,34.42662778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11119750"
"11119940","MARIA YGNACIO C A UNIVERSITY DRIVE NR GOLETA CA","ST","USGS",-119.80375000,34.44499650,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11119940"
"11120000","ATASCADERO C NR GOLETA CA","ST","USGS",-119.81180500,34.42471890,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11120000"
"11120500","SAN JOSE C NR GOLETA CA","ST","USGS",-119.80902830,34.45916286,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11120500"
"11120520","SAN PEDRO C A GOLETA CA","ST","USGS",-119.84027780,34.44861110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11120520"
"11121900","GIBRALTAR DAM DIV WEIR A GIBRALTAR DAM CA","ST","USGS",-119.68708000,34.52416130,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11121900"
"11122010","GIBRALTAR DAM RELEASE WEIR A GIBRALTAR DAM CA","ST","USGS",-119.68735790,34.52416133,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11122010"
"11123000","SANTA YNEZ R BL GIBRALTAR DAM NR SANTA BARBARA CA","ST","USGS",-119.68735790,34.52443910,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11123000"
"11123500","SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA","ST","USGS",-119.86486270,34.54360358,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11123500"
"11124500","SANTA CRUZ C NR SANTA YNEZ CA","ST","USGS",-119.90875190,34.59665630,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11124500"
"11125605","HILTON CYN C 0.25 MI BL BRADBURY DAM NR SANTA YNEZ","ST","USGS",-119.98500000,34.58388889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11125605"
"11126400","SANTA YNEZ R A HWY 154 NR SANTA YNEZ CA","ST","USGS",-120.02536100,34.59011110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11126400"
"11128250","ALAMO PINTADO C NR SOLVANG CA","ST","USGS",-120.12070300,34.61831975,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11128250"
"11128500","SANTA YNEZ R A SOLVANG CA","ST","USGS",-120.14459260,34.58498706,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11128500"
"11129800","ZACA C NR BUELLTON CA","ST","USGS",-120.18431720,34.64859614,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11129800"
"11132500","SALSIPUEDES C NR LOMPOC CA","ST","USGS",-120.40849380,34.58859570,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11132500"
"11133000","SANTA YNEZ R A NARROWS NR LOMPOC CA","ST","USGS",-120.42460600,34.63609474,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11133000"
"11134000","SANTA YNEZ R A H ST NR LOMPOC CA","ST","USGS",-120.45794110,34.66831620,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11134000"
"11135800","SAN ANTONIO C A LOS ALAMOS CA","ST","USGS",-120.27098880,34.74331534,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11135800"
"11136040","HARRIS CANYON C NR ORCUTT CA","ST","USGS",-120.43166670,34.77777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136040"
"11136045","SAN ANTONIO C A SAN ANTONIO RD E NR ORCUTT CA","ST","USGS",-120.43335000,34.76691944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136045"
"11136100","SAN ANTONIO C NR CASMALIA CA","ST","USGS",-120.53016700,34.78220307,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136100"
"11136500","CUYAMA R NR VENTUCOPA CA","ST","USGS",-119.35873330,34.68804167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136500"
"11136600","SANTA BARBARA CYN C NR VENTUCOPA CA","ST","USGS",-119.55734830,34.82081299,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136600"
"11136710","CUYAMA R NR NEW CUYAMA CA","ST","USGS",-119.95954720,35.05611110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136710"
"11136800","CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA","ST","USGS",-120.22848680,35.02192130,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11136800"
"11137900","HUASNA R NR ARROYO GRANDE CA","ST","USGS",-120.37182670,35.07775398,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11137900"
"11138500","SISQUOC R NR SISQUOC CA","ST","USGS",-120.16716940,34.83995556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11138500"
"11140000","SISQUOC R NR GAREY","ST","USGS",-120.30654630,34.89386807,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11140000"
"11140585","SANTA MARIA R A SUEY CROSSING NR SANTA MARIA CA","ST","USGS",-120.40405100,34.96831117,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11140585"
"11141050","ORCUTT C NR ORCUTT CA","ST","USGS",-120.49488830,34.88359037,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11141050"
"11141280","LOPEZ C NR ARROYO GRANDE CA","ST","USGS",-120.47238570,35.23553035,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11141280"
"11143000","BIG SUR R NR BIG SUR CA","ST","USGS",-121.77328720,36.24579648,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11143000"
"11143200","CARMEL R A ROBLES DEL RIO CA","ST","USGS",-121.72888890,36.47486110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11143200"
