site_datatype_id,site_id,datatype_id,site_metadata.site_id,site_metadata.site_name,site_metadata.site_common_name,site_metadata.description,site_metadata.elevation,site_metadata.lat,site_metadata.longi,site_metadata.db_site_code,site_metadata.objecttype_id,site_metadata.objecttype_name,site_metadata.basin_id,site_metadata.hydrologic_unit,site_metadata.river_mile,site_metadata.segment_no,site_metadata.state_id,site_metadata.state_code,site_metadata.usgs_id,site_metadata.nws_code,site_metadata.shef_code,site_metadata.scs_id,site_metadata.parent_objecttype_id,site_metadata.parent_site_id,datatype_metadata.datatype_id,datatype_metadata.datatype_name,datatype_metadata.datatype_common_name,datatype_metadata.physical_quantity_name,datatype_metadata.unit_id,datatype_metadata.unit_name,datatype_metadata.unit_common_name,datatype_metadata.allowable_intervals,datatype_metadata.agen_id,datatype_metadata.cmmnt,last_meas_date,last_meas_val
2119,751,19,751,Colorado River at Parker Gage,PGLC,USBR Site - telemetry,347.3,34 08.934',-114 18.468',LC,9,,0,1.50301E+11,175,0,5,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2336,1061,19,1061,Colorado River Below Big Bend,BBBLC,USBR Site - telemetry,488.4,35 05.303',-114 37.458',LC,9,,0,1.50301E+11,265,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2337,1060,19,1060,Colorado River at River Section 41,RS41LC,USBR Site - telemetry,455.3,34 41.255',-114 27.759',LC,9,,0,1.50301E+11,231,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2359,1061,66,1061,Colorado River Below Big Bend,BBBLC,USBR Site - telemetry,488.4,35 05.303',-114 37.458',LC,9,,0,1.50301E+11,265,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2361,1060,2367,1060,Colorado River at River Section 41,RS41LC,USBR Site - telemetry,455.3,34 41.255',-114 27.759',LC,9,,0,1.50301E+11,231,0,3,,,,,,0,0,2367,"average water level, as measured by sontek",ave water level,gage height,4,feet,feet,non-instant,0,,,
2491,1097,19,1097,Colorado River at Lees Ferry,Colorado River at Lees Ferry,USGS Site,3125.06,36 51 53,111 35 15,LC,9,,0,1.407E+11,698,0,3,,09380000,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2492,1097,66,1097,Colorado River at Lees Ferry,Colorado River at Lees Ferry,USGS Site,3125.06,36 51 53,111 35 15,LC,9,,0,1.407E+11,698,0,3,,09380000,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2508,1104,66,1104,Colorado River at Martinez Gage,MLLC,USBR Site - telemetry,188,32 59.847',-114 29.821',YAO,9,,0,1.50301E+11,56.3,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2731,1104,19,1104,Colorado River at Martinez Gage,MLLC,USBR Site - telemetry,188,32 59.847',-114 29.821',YAO,9,,0,1.50301E+11,56.3,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
8025,3873,66,3873,Colorado River Below Palo Verde Dam (USGS),PVLC (USGS),USGS Site,260,33 43 10,114 29 50,LC,9,,0,1.50301E+11,0,0,3,,09429100,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
20179,3432,19,3432,Colorado River Below Interstate Bridge,BIBLC,USBR Site - telemetry,,33 35.362',-114 32.559',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
20181,3432,66,3432,Colorado River Below Interstate Bridge,BIBLC,USBR Site - telemetry,,33 35.362',-114 32.559',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
20184,3433,19,3433,Colorado River Below Oxbow Bridge,BOBLC,USBR Site - telemetry,,33 22.060',-114 42.195',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
20186,3433,66,3433,Colorado River Below Oxbow Bridge,BOBLC,USBR Site - telemetry,,33 22.060',-114 42.195',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
20189,3434,19,3434,Colorado River Below McIntyre Park,BMPLC,USBR Site - telemetry,,33 30.659',-114 34.090',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
20191,3434,66,3434,Colorado River Below McIntyre Park,BMPLC,USBR Site - telemetry,,33 30.659',-114 34.090',LC,9,,0,1.50301E+11,0,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
23517,3873,19,3873,Colorado River Below Palo Verde Dam (USGS),PVLC (USGS),USGS Site,260,33 43 10,114 29 50,LC,9,,0,1.50301E+11,0,0,3,,09429100,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100247,100083,19,100083,BIG THOMPSON RIVER BELOW LAKE ESTES,BTBLESCO,,,40.38,-105.49,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100248,100124,19,100124,BIG THOMPSON RIVER AT MOUTH OF CANYON NEAR DRAKE,BTCANYCO,,5305.5,40.42165,-105.226652,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100252,100037,19,100037,BIG THOMPSON RIVER ABOVE LAKE ESTES,BTABESCO,,,40.38,-105.51,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100255,100073,19,100073,"BIG THOMPSON RIVER AT LOVELAND, CO.",BIGLOVCO,,4906,40.37859462089924,-105.0610909,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100256,100111,19,100111,"CACHE LA POUDRE RIVER AT FORT COLLINS, CO",CLAFORCO,,4940,40.58914907779512,-105.0697002,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100289,100064,19,100064,ARKANSAS RIVER AT PORTLAND,ARKPORCO,,5021.6,38.388334,-105.016096,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100294,100075,19,100075,"PURGATOIRE RIVER NEAR THATCHER, CO.",PURTHACO,,4790,37.35640593281928,-103.9002383,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100295,100061,19,100061,"FOUNTAIN CREEK AT PUEBLO, CO.",FOUPUECO,,4705,38.287780127477546,-104.6010849,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100349,100094,19,100094,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO.",BLUGRECO,,7682.66,39.880263544201746,-106.3339175,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100350,100026,19,100026,"COLORADO RIVER NEAR DOTSERO, CO",COLDOTCO,,6130,39.64461111111111,-107.0780139,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100351,100078,19,100078,"ARKANSAS RIVER NEAR AVONDALE, CO.",ARKAVOCO,,4509.53,38.248057994847834,-104.3991356,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100352,100051,19,100051,"ARKANSAS RIVER BELOW GRANITE, CO",ARKBGNCO,,8620,38.99499431895623,-106.2202983,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100353,100114,19,100114,"ARKANSAS RIVER AT LAS ANIMAS, CO.",ARKLASCO,,3883.97,38.08083993802086,-103.2196523,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100354,100055,19,100055,"ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO, CO",ARKMOFCO,,4653,38.25361396,-104.6060854,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100355,100056,19,100056,"ARKANSAS RIVER NEAR NATHROP, CO",ARKNATCO,,7350,38.652218820551546,-106.0511261,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100356,100097,19,100097,ARKANSAS RIVER AT SALIDA,ARKSALCO,,7050.5,38.54583,-106.010569,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100357,100015,19,100015,ARKANSAS RIVER NEAR WELLSVILLE,ARKWELCO,,6883.4,38.502774,-105.939733,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100358,100011,19,100011,ARKANSAS RIVER ABOVE PUEBLO,ARKPUECO,,4740,38.271671,-104.718033,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100359,100093,19,100093,ARKANSAS RIVER AT CANON CITY,ARKCANCO,,5342.1,38.433886,-105.257212,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100360,100090,19,100090,"ARKANSAS RIVER AT NEPESTA BRIDGE NEAR NEPESTA, CO",ARKNEPCO,,4385,38.18417,-104.173294,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100374,100054,19,100054,CACHE LA POUDRE AT CANYON MOUTH NEAR FORT COLLINS,CLAFTCCO,,5220,40.664426,-105.224427,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100378,100099,19,100099,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,COLUTACO,,4325,39.13276046540405,-109.0270546,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100379,100033,19,100033,"COLORADO RIVER NEAR CAMEO, CO.",COLCAMCO,,4813.73,39.23914631,-108.2661946,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100381,100013,19,100013,"COLORADO RIVER BELOW GLENWOOD SPRINGS, CO.",COLGLECO,,5700.75,39.55498191240022,-107.337554,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100382,100020,19,100020,COLORADO RIVER BELOW LAKE GRANBY,COLGBYCO,Colorado River below Lake Grandby,8050,40.144152,-105.867234,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100383,100062,19,100062,"COLORADO RIVER NEAR KREMMLING, CO",COLKRECO,,7320,40.03665247655627,-106.4400324,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100384,100116,19,100116,"COLO RIVER BELOW GRAND VALLEY DIV NR PALISADE, CO",COLPALCO,,4670,39.09859226315941,-108.3550861,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100385,100095,19,100095,"COLORADO RIVER NEAR GRANBY, CO",COLNGBCO,,7960,40.12081914534986,-105.9005694,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100386,100101,19,100101,"CRYSTAL RIVER BELOW CARBONDALE, CO.",CRYCANCO,,6120,39.40803866,-107.23033,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100392,100024,19,100024,EWING DITCH AT TENNESSEE PASS,EWIDITCO,,10510,39.363599,-106.306414,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100394,100050,19,100050,"FOUNTAIN CREEK AT COLORADO SPRINGS, CO",FOUACSCO,,5900,38.81638158373741,-104.8227519,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100395,100121,19,100121,"FOUNTAIN CREEK NEAR PINON, CO",FOUPINCO,"Fountain Creek near Pinon, CO   --   USGS 07106300",4990,38.42944444444444,-104.5980556,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100396,100129,19,100129,"FRASER RIVER AT WINTER PARK, CO.",FRAWINCO,,8906.23,39.89998694855818,-105.7766741,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100400,100040,19,100040,FRYINGPAN RIVER AT MEREDITH,FRYMERCO,,7780,39.362485,-106.732536,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100401,100021,19,100021,FRYINGPAN RIVER NEAR THOMASVILLE,FRYTHOCO,,8210,39.344708,-106.673645,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100402,100027,19,100027,"FRYINGPAN RIVER NEAR RUEDI, CO.",FRYRUDCO,,7473.25,39.36554075,-106.8255948,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100415,100102,19,100102,LAKE CREEK ABOVE TWIN LAKES RESERVOIR,LAKATLCO,,9310,39.063028,-106.407528,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100416,100082,19,100082,LAKE CREEK BELOW TWIN LAKES RESERVOIR,LAKBTLCO,,,39.076103,-106.310306,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100417,100009,19,100009,LAKE FORK CREEK ABOVE TURQUOISE,LKCTURCO,,,39.281286,-106.4424,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100418,100057,19,100057,LAKE FORK CREEK BELOW SUGAR LOAF DAM NEAR LEADVILLE,LFCBSLCO,,,39.2536,-106.371137,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100422,100067,19,100067,LINCOLN CREEK BELOW GRIZZLY RESERVOIR NEAR ASPEN,LINGRRCO,,10485,39.07999,-106.616421,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100436,100123,19,100123,"MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO",MUDKRECO,,7380,40.10859628472424,-106.4139212,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100441,100086,19,100086,NORTH FORK BIG THOMPSON RIVER AT DRAKE,BTNFDRCO,,6170,40.433316,-105.338879,ECO,9,,0,1.019E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100444,100022,19,100022,"PLATEAU CREEK NEAR CAMEO, CO",PLACAMCO,,4840,39.183611111111105,-108.2683333,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100445,100087,19,100087,"PURGATOIRE RIVER AT MADRID, CO.",PURMADCO,,6261.61,37.12946459040554,-104.6399888,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100446,100039,19,100039,PURGATOIRE RIVER AT NINEMILE DAM NEAR HIGBEE,PURNINCO,,4240.6,37.714735,-103.511053,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100447,100079,19,100079,PURGATOIRE RIVER AT TRINIDAD,PURTRICO,,5979.8,37.170852,-104.509152,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100448,100098,19,100098,"PURGATOIRE RIVER BELOW TRINIDAD LAKE, CO.",PURBTRCO,,6073.64,37.14390845639304,-104.5477644,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100449,100042,19,100042,"PURGATOIRE RIVER NEAR LAS ANIMAS, CO.",PURLASCO,,3878.04,38.03389610335776,-103.2004854,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100452,100110,19,100110,"ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.",ROADIFCO,,8120,39.14109959135917,-106.7742039,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100453,100069,19,100069,Roaring Fork above Lost Man Creek nr Aspen,ROALMCCO,,,39.12,-106.62,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100454,100052,19,100052,ROARING FORK RIVER BELOW MAROON CREEK NEAR ASPEN,ROABMCCO,,,39.199987,-106.817261,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100456,100047,19,100047,"ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",ROAGLECO,,5720.73,39.543593071129536,-107.3294984,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100457,100070,19,100070,"ROARING FORK RIVER NEAR EMMA, CO",ROAEMMCO,,6470,39.37331729,-107.0839367,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100459,100077,19,100077,ROCKY FORK CREEK NEAR MEREDITH,RFCMERCO,,,39.361651,-106.820594,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100471,100128,19,100128,WILLOW CREEK BELOW WILLOW CREEK RESERVOIR,WILWCRCO,"Willow Creek below Willow Creek Reservoir
USGS assumed operation from CODWR on 01 May 2018",8023.64,40.145818,-105.940015,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100472,100139,19,100139,Wind River Bypass,WINBYPCO,Data transmitted by ADATUNCO ,,40.33,-105.58,ECO,9,,0,1.019E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100473,100109,19,100109,WIND RIVER NEAR ESTES PARK,WINDESCO,,,40.326925,-105.581955,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100526,100155,19,100155,"COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.",COLAWICO,,7790,40.10831902,-106.0041847,ECO,9,,0,1.401E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100975,100085,19,100085,TWIN LAKES TUNNEL,TWITUNCO,,,39.082213,-106.540585,ECO,9,,0,1.102E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
100979,100276,19,100276,NORTH FORK FRYINGPAN RIVER NEAR NORRIE,FRYNFNCO,,8330,39.342764,-106.665867,ECO,9,,0,1.401E+11,0,0,0,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101205,100279,19,100279,"EF ARKANSAS R AT US HIGHWAY 24, NR LEADVILLE, CO.",ARKEFOCO,"East Fork of the Arkansas River at US Highway 24 near Leadville, CO",9900,39.27248920981188,-106.3064133,ECO,9,,0,1.102E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101537,100379,19,100379,Carter Conduit Flow Meter,CARCONCO,,5805,40.352,-105.2224,ECO,9,,0,1.019E+11,0,0,6,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101629,100646,19,100646,Wurtz Ditch on the East Fork of the Arkansas River,WURDITCO,FryArk Accounting,,39.35417,-106.3525,ECO,9,,0,1.401E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101636,100653,19,100653,Pueblo Res release to the Arkansas River,PUER to ArkRiver,FryArk Accounting,,38.2684,-104.724,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101637,100654,19,100654,Pueblo Res release to the Bessemer Ditch,Bessemer,FryArk Accounting,,38.2684,-104.724,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101644,100662,19,100662,Fountain Valley Conduit release from Pueblo Reservoir,FVA Conduit,FryArk Accounting,,38.2684,-104.724,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101647,100664,19,100664,Homestake Tunnel inflow to Turquoise Res (no lag or loss),HOMFAPCO,FryArk Accounting,,39.28111,-106.43222,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101653,100669,19,100669,Pueblo Res release to Pueblo West,Pueblo West Outlet,FryArk Accounting,,38.2684,-104.724,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101656,100671,19,100671,Pueblo State Park Fish Hatchery ,Pueblo Fish Hatchery,FryArk Accounting,,38.2684,-104.724,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
101657,100672,19,100672,Twin Lakes Tunnel (Independence Pass) into Twin Lakes,TWTFAPCO,FryArk Accounting,,39.0748,-106.3806,ECO,9,,0,1.102E+11,0,0,6,,,,,,6,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
